"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Oconee Nuclear Station, Unit 2",Oconee 2,05000270,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,10/6/73,9/9/74,5/23/00,10/6/33,2568,,102%,93%,91%,103%,86%,91%,,90%,76%,102%,,,,,
"Oconee Nuclear Station, Unit 3",Oconee 3,05000287,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,7/19/74,12/16/74,5/23/00,7/19/34,2568,,86%,103%,91%,94%,102%,87%,,98%,77%,85%,,,,,
"Oyster Creek Nuclear Generating Station, Unit 1",Oyster Creek,05000219,"Forked River, NJ (9 MI S of Toms River,  NJ)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 2,B&R,B&R,12/15/64,7/2/91,12/1/69,4/8/09,4/9/29,1930,"AEC issued a provisional OL on 04/09/1969, allowing commercial operation. The NRC issued a full-term OL on 07/02/1991.",88%,98%,85%,92%,83%,94%,,99%,89%,97%,,,,,
Palisades Nuclear Plant,Palisades,05000255,"Covert, MI (5 MI S of South Haven,  MI)",3,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,3/14/67,2/21/91,12/31/71,1/17/07,3/24/31,2565.4,"AEC issued a provisional OL on 003/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",74%,96%,92%,90%,99%,86%,,79%,92%,95%,,,,,
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,05000528,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,6/1/85,1/28/86,4/21/11,6/1/45,3990,,100%,83%,81%,101%,86%,77%,,63%,85%,97%,,,,,
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,4/24/86,9/19/86,4/21/11,4/24/46,3990,,90%,91%,101%,83%,74%,95%,,82%,92%,72%,,,,,
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,05000530,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,PWR-DRYAMB,COMB CE80-2L,BECH,BECH,5/25/76,11/25/87,1/8/88,4/21/11,11/25/47,3990,,88%,97%,89%,83%,97%,64%,,84%,75%,88%,,,,,
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,05000277,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,10/25/73,7/5/74,5/7/03,8/8/33,3514,,88%,101%,92%,102%,89%,101%,,98%,91%,95%,,,,,
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,05000278,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,1/31/68,7/2/74,12/23/74,5/7/03,7/2/34,3514,,103%,90%,100%,89%,99%,93%,,91%,102%,91%,,,,,
"Perry Nuclear Power Plant, Unit 1",Perry 1,05000440,"Perry, OH (35 MI NE of Cleveland,  OH)",3,First Energy Nuclear Operating Co.,BWR-MARK 3,GE 6,GIL,KAIS,5/3/77,11/13/86,11/18/87,N/A,3/18/26,3758,,92%,79%,98%,67%,98%,75%,,71%,94%,79%,,,,,
Pilgrim Nuclear Power Station,Pilgrim 1,0'5000293,"Plymouth, MA (38 MI SE of Boston, MA)",1,"Entergy Nuclear Operations, Inc.",BWR-MARK 1,GE 3,BECH,BECH,8/26/68,6/8/72,12/1/72,5/29/12,6/8/32,2028,,98%,85%,99%,90%,97%,85%,,91%,99%,83%,,,,,
