State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
WY,Platte,1307,Basin Electric Power Coop,6204,Laramie River Station,3,,OP,570,570,570,22,ST,SUB,,11,1982
ND,Mercer,1307,Basin Electric Power Coop,6469,Antelope Valley,1,,OP,434.9,450,450,22,ST,LIG,,7,1984
ND,Mercer,1307,Basin Electric Power Coop,6469,Antelope Valley,2,,OP,434.9,450,450,22,ST,LIG,,7,1986
WY,Campbell,1307,Basin Electric Power Coop,56609,Dry Fork Station,01,,OP,390,405,405,22,ST,SUB,,11,2011
KY,Hancock,1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,1,,OP,205,150,150,22,ST,BIT,,9,1969
KY,Hancock,1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,2,,OP,205,138,138,22,ST,BIT,,7,1970
KY,Hancock,1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,3,,OP,192,155,155,22,ST,BIT,,12,1971
KY,Henderson,1692,Big Rivers Electric Corp,1382,HMP&L Station Two Henderson,1,,OP,200,153,153,22,ST,BIT,PC,6,1973
KY,Henderson,1692,Big Rivers Electric Corp,1382,HMP&L Station Two Henderson,2,,OP,205,159,159,22,ST,BIT,PC,4,1974
KY,Webster,1692,Big Rivers Electric Corp,1383,Robert A Reid,1,,OP,96,65,65,22,ST,BIT,NG,1,1966
KY,Webster,1692,Big Rivers Electric Corp,6639,R D Green,1,,OP,293,231,231,22,ST,BIT,PC,12,1979
KY,Webster,1692,Big Rivers Electric Corp,6639,R D Green,2,,OP,293,223,223,22,ST,BIT,PC,1,1981
KY,Ohio,1692,Big Rivers Electric Corp,6823,D B Wilson,1,,OP,566.1,417,417,22,ST,BIT,PC,9,1984
VA,King George,1735,Birchwood Power Partners LP,54304,Birchwood Power,1,,OP,258.3,237.8,242.2,22,ST,BIT,DFO,11,1996
NY,Jefferson,1746,Black River Generation LLC,10464,Black River Generation,GEN1,,OA,55.5,55,56,22,ST,BIT,PC,6,1989
MI,Ontonagon,1951,White Pine Electric Power LLC,10148,White Pine Electric Power,GEN1,,OP,20,18,18,22,ST,BIT,NG,12,1954
MI,Ontonagon,1951,White Pine Electric Power LLC,10148,White Pine Electric Power,GEN2,,OP,20,18,18,22,ST,BIT,NG,12,1954
MI,Ontonagon,1951,White Pine Electric Power LLC,10148,White Pine Electric Power,GEN3,,OS,20,18,18,22,ST,BIT,NG,12,1954
AL,Talladega,2053,Bowater Nwprt Coosa Pines Op,54216,U S Alliance Coosa Pines,AOW6,,OP,12.5,11.6,11.8,322,ST,BIT,DFO,1,1968
MI,St Clair,2769,Cargill Inc,54965,Cargill Salt,ACTG,,OP,2,2,2,311,ST,BIT,NG,1,1968
PA,Cambria,2884,Cambria CoGen Co,10641,Cambria Cogen,GEN1,,OP,98,87.5,87.5,22,ST,WC,,3,1991
OH,WAYNE,2999,Caraustar Industries Inc,54235,Rittman Paperboard,GEN1,,SB,3,3,3,32213,ST,BIT,,1,1928
OH,WAYNE,2999,Caraustar Industries Inc,54235,Rittman Paperboard,GEN2,,SB,5,5,5,32213,ST,BIT,,1,1940
OH,WAYNE,2999,Caraustar Industries Inc,54235,Rittman Paperboard,GEN3,,SB,6,6,6,32213,ST,BIT,,6,1946
OH,Jefferson,3006,Cardinal Operating Co,2828,Cardinal,1,,OP,615.2,580,580,22,ST,BIT,,2,1967
OH,Jefferson,3006,Cardinal Operating Co,2828,Cardinal,2,,OP,615.2,590,590,22,ST,BIT,,7,1967
OH,Jefferson,3006,Cardinal Operating Co,2828,Cardinal,3,,OP,650,630,630,22,ST,BIT,,9,1977
NC,Buncombe,3046,Progress Energy Carolinas Inc,2706,Asheville,1,,OP,206.6,191,196,22,ST,BIT,,5,1964
NC,Buncombe,3046,Progress Energy Carolinas Inc,2706,Asheville,2,,OP,207,185,187,22,ST,BIT,,5,1971
NC,Chatham,3046,Progress Energy Carolinas Inc,2708,Cape Fear,5,,OP,140.6,144,148,22,ST,BIT,,12,1956
NC,Chatham,3046,Progress Energy Carolinas Inc,2708,Cape Fear,6,,OP,187.9,172,175,22,ST,BIT,,7,1958
NC,Wayne,3046,Progress Energy Carolinas Inc,2709,HF Lee Plant,1,,OP,75,74,80,22,ST,BIT,,6,1952
NC,Wayne,3046,Progress Energy Carolinas Inc,2709,HF Lee Plant,2,,OP,75,68,80,22,ST,BIT,,5,1951
NC,Wayne,3046,Progress Energy Carolinas Inc,2709,HF Lee Plant,3,,OP,252.4,240,252,22,ST,BIT,,8,1962
NC,Person,3046,Progress Energy Carolinas Inc,2712,Roxboro,1,,OP,410.8,364,374,22,ST,BIT,,5,1966
NC,Person,3046,Progress Energy Carolinas Inc,2712,Roxboro,2,,OP,657,659,667,22,ST,BIT,,5,1968
NC,Person,3046,Progress Energy Carolinas Inc,2712,Roxboro,3,,OP,745.2,696,698,22,ST,BIT,,7,1973
NC,Person,3046,Progress Energy Carolinas Inc,2712,Roxboro,4,,OP,745.2,698,711,22,ST,BIT,,9,1980
NC,New Hanover,3046,Progress Energy Carolinas Inc,2713,L V Sutton,1,,OP,112.5,97,98,22,ST,BIT,,8,1954
NC,New Hanover,3046,Progress Energy Carolinas Inc,2713,L V Sutton,2,,OP,112.5,104,107,22,ST,BIT,,5,1955
NC,New Hanover,3046,Progress Energy Carolinas Inc,2713,L V Sutton,3,,OP,446.6,374,411,22,ST,BIT,,6,1972
SC,Darlington,3046,Progress Energy Carolinas Inc,3251,H B Robinson,1,,OP,206.6,177,179,22,ST,BIT,,5,1960
NC,Person,3046,Progress Energy Carolinas Inc,6250,Mayo,1,,OP,735.8,727,735,22,ST,BIT,,3,1983
TN,Shelby,3103,Cargill Inc,10729,Cargill Corn Wet Milling Plant,GEN1,,OP,25,10.3,10.3,311,ST,BIT,NG,5,1985
IA,Monroe,3106,Cargill Inc North America Sweetners,10855,Cargill Corn Milling Division,GEN1,,SB,20,18.7,18.8,311,ST,SUB,,12,1952
IA,Monroe,3106,Cargill Inc North America Sweetners,10855,Cargill Corn Milling Division,GEN2,,OP,20,18,18,311,ST,SUB,,12,1952
IA,Black Hawk,3203,Cedar Falls Utilities,1131,Streeter Station,6,,OP,16.5,16.5,19.4,22,ST,BIT,NG,9,1963
IA,Black Hawk,3203,Cedar Falls Utilities,1131,Streeter Station,7,,OP,35,35,35.7,22,ST,BIT,NG,6,1973
MO,Osage,3242,Central Electric Power Coop - (MO),2169,Chamois,1,,OP,15,16,17,22,ST,BIT,,12,1953
MO,Osage,3242,Central Electric Power Coop - (MO),2169,Chamois,2,,OP,44,47,50,22,ST,SUB,BIT,11,1960
IA,MUSCATINE,3258,Central Iowa Power Cooperative,1218,Fair Station,1,,OP,25,23,24,22,ST,BIT,NG,1,1960
IA,MUSCATINE,3258,Central Iowa Power Cooperative,1218,Fair Station,2,,OP,37.5,41,42,22,ST,BIT,NG,4,1967
LA,De Soto,3265,Cleco Power LLC,51,Dolet Hills,1,,OP,720.7,638,638,22,ST,LIG,,4,1986
LA,Rapides,3265,Cleco Power LLC,6190,Brame Energy Center,2,,OP,558,493,493,22,ST,SUB,,8,1982
IN,ADAMS,3283,Bunge North America East LLC,50316,Bunge North America East LLC,3516,,OP,2,2.2,2.2,311,ST,BIT,,12,1950
FL,Hernando,3303,Central Power & Lime Inc,10333,Central Power & Lime,GEN1,,OP,125,135,140,22,ST,BIT,,6,1988
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,1,,OP,115,94,94,22,ST,BIT,,6,1952
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,2,,OP,112.5,94,94,22,ST,BIT,,10,1953
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,3,,OP,125,128,128,22,ST,BIT,,11,1954
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,4,,OP,163.2,150,150,22,ST,BIT,,7,1958
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,5,,OP,244.8,238,238,22,ST,BIT,,12,1962
OH,Clermont,3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,6,,OP,460.8,414,420,22,ST,BIT,,7,1969
OH,Hamilton,3542,Duke Energy Ohio Inc,2832,Miami Fort,6,,OP,163.2,163,163,22,ST,BIT,,11,1960
OH,Hamilton,3542,Duke Energy Ohio Inc,2832,Miami Fort,7,,OP,557.1,510,510,22,ST,BIT,,5,1975
OH,Hamilton,3542,Duke Energy Ohio Inc,2832,Miami Fort,8,,OP,557.7,510,510,22,ST,BIT,,2,1978
OH,Clermont,3542,Duke Energy Ohio Inc,6019,W H Zimmer,ST1,,OP,1425.6,1300,1300,22,ST,BIT,,3,1991
MS,Choctaw,3593,Choctaw Generating LP,55076,Red Hills Generating Facility,RHGF,,OP,513.7,440,440,22,ST,LIG,NG,4,2001
