,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
257,OH,Adams,Killen Station,OP,660.6,BIT,6,1982
258,WI,Wood,Georgia-Pacific Corp - Nekoosa Mill,OP,6.0,BIT,1,1951
259,WI,Wood,Georgia-Pacific Corp - Nekoosa Mill,OP,16.0,BIT,1,1966
260,MI,Huron,Harbor Beach,OP,121.0,BIT,4,1968
261,MI,Monroe,Monroe,OP,817.2,SUB,6,1971
262,MI,Monroe,Monroe,OP,822.6,SUB,3,1973
263,MI,Monroe,Monroe,OP,822.6,SUB,5,1973
264,MI,Monroe,Monroe,OP,817.2,SUB,5,1974
265,MI,Wayne,River Rouge,OP,292.5,SUB,11,1957
266,MI,Wayne,River Rouge,OP,358.1,SUB,10,1958
267,MI,St Clair,St Clair,OP,168.7,SUB,8,1953
268,MI,St Clair,St Clair,OP,156.2,SUB,11,1953
269,MI,St Clair,St Clair,OP,156.2,SUB,6,1954
270,MI,St Clair,St Clair,OP,168.7,SUB,10,1954
271,MI,St Clair,St Clair,OP,352.7,SUB,4,1961
272,MI,St Clair,St Clair,OP,544.5,SUB,4,1969
273,MI,Wayne,Trenton Channel,OP,120.0,SUB,6,1949
274,MI,Wayne,Trenton Channel,OP,120.0,SUB,2,1950
275,MI,Wayne,Trenton Channel,OP,535.5,SUB,1,1968
276,MI,St Clair,Belle River,OP,697.5,SUB,8,1984
277,MI,St Clair,Belle River,OP,697.5,SUB,7,1985
278,IL,Christian,Kincaid Generation LLC,OP,659.5,SUB,6,1967
279,IL,Christian,Kincaid Generation LLC,OP,659.5,SUB,6,1968
280,OH,Tuscarawas,Dover,SB,8.0,BIT,1,1954
281,OH,Tuscarawas,Dover,OP,19.5,BIT,6,1968
282,NC,Gaston,G G Allen,OP,165.0,BIT,6,1957
283,NC,Gaston,G G Allen,OP,165.0,BIT,11,1957
284,NC,Gaston,G G Allen,OP,275.0,BIT,10,1959
285,NC,Gaston,G G Allen,OP,275.0,BIT,10,1960
286,NC,Gaston,G G Allen,OP,275.0,BIT,7,1961
287,NC,Rowan,Buck,OP,125.0,BIT,9,1953
288,NC,Rowan,Buck,OP,125.0,BIT,12,1953
289,NC,Cleveland,Cliffside,OP,570.9,BIT,6,1972
290,NC,Rockingham,Dan River,OP,70.0,BIT,12,1949
291,NC,Rockingham,Dan River,OP,70.0,BIT,3,1950
292,NC,Rockingham,Dan River,OP,150.0,BIT,8,1955
293,NC,Catawba,Marshall,OP,350.0,BIT,3,1965
294,NC,Catawba,Marshall,OP,350.0,BIT,4,1966
295,NC,Catawba,Marshall,OP,648.0,BIT,5,1969
296,NC,Catawba,Marshall,OP,648.0,BIT,5,1970
297,NC,Gaston,Riverbend,OP,100.0,BIT,10,1952
298,NC,Gaston,Riverbend,OP,100.0,BIT,11,1952
299,NC,Gaston,Riverbend,OP,133.0,BIT,8,1954
300,NC,Gaston,Riverbend,OP,133.0,BIT,11,1954
